Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2904,All Houses,886.361,8.639,-1.2%,-1.2%,-5.4%,2.7%,4.3%,4.3%,3 br Houses,812.914,17.086,3.7%,-2.5%,-3.6%,3.8%,4.7%,5.4%,All Units,676.194,-11.694,-2.1%,1.3%,-10.8%,6.3%,6.4%,4.6%,2 br Units,467.500,127.500,37.5%,37.5%,37.5%,11.2%,4.7%,2.9%,Combined,854.698,5.523,-1.3%,-0.9%,-6.1%,3.1%,4.6%,4.4%,2904
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2905,All Houses,815.890,14.110,1.7%,1.1%,1.1%,8.5%,5.9%,5.4%,3 br Houses,749.703,0.297,0.0%,-2.1%,2.1%,7.8%,6.4%,5.8%,All Units,683.835,15.165,4.8%,5.1%,-0.5%,10.4%,8.3%,6.1%,2 br Units,455.257,-10.257,-9.7%,-10.9%,-31.2%,3.1%,3.6%,2.9%,Combined,788.499,14.347,2.3%,1.8%,0.8%,8.8%,6.3%,5.5%,2905
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2906,All Houses,834.840,-24.840,4.0%,-7.3%,-5.5%,6.1%,5.9%,5.1%,3 br Houses,746.634,-17.134,-1.6%,-0.5%,2.3%,9.1%,7.8%,6.1%,All Units,644.721,0.279,2.7%,5.8%,-2.1%,10.5%,5.1%,5.9%,2 br Units,508.249,-0.082,-0.2%,-5.0%,-8.1%,5.8%,2.7%,4.9%,Combined,794.608,-19.602,3.8%,-5.3%,-4.9%,6.8%,5.7%,5.3%,2906
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2911,All Houses,984.337,-44.837,-13.5%,-26.1%,9.4%,6.3%,4.4%,3.9%,3 br Houses,896.893,3.107,5.5%,16.5%,0.0%,13.4%,5.3%,6.1%,All Units,650.580,-0.580,11.1%,61.1%,-6.9%,24.2%,11.6%,0.2%,2 br Units,674.691,-0.191,-0.4%,-3.5%,-3.5%,21.5%,8.6%,0.0%,Combined,914.169,-35.332,-10.5%,-19.5%,6.8%,8.3%,5.2%,3.3%,2911
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2912,All Houses,895.739,3.261,1.8%,3.6%,17.6%,17.2%,3.8%,3.8%,3 br Houses,885.043,9.907,-0.7%,0.3%,1.0%,10.1%,7.5%,7.6%,All Units,495.399,-0.499,-0.6%,3.2%,2.9%,4.2%,6.0%,4.2%,2 br Units,499.014,-0.014,0.0%,-0.4%,-1.4%,5.4%,4.8%,3.2%,Combined,717.749,0.553,0.9%,3.1%,11.5%,12.2%,4.0%,3.7%,2912
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2913,All Houses,"1,033.088",-8.638,4.6%,3.5%,14.6%,17.7%,10.3%,7.3%,3 br Houses,775.518,3.482,3.6%,2.3%,1.6%,11.4%,7.2%,6.1%,All Units,557.480,6.970,0.6%,-4.2%,-12.0%,10.0%,6.2%,4.3%,2 br Units,536.632,2.368,1.8%,-1.2%,3.7%,11.2%,6.4%,4.7%,Combined,931.319,-5.623,4.0%,2.4%,10.2%,16.5%,9.7%,6.9%,2913
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2914,All Houses,933.130,5.870,3.9%,3.7%,-9.5%,8.0%,4.6%,5.0%,3 br Houses,755.971,-0.971,-1.2%,-3.7%,-6.2%,8.2%,6.5%,6.1%,All Units,640.346,-8.346,-1.3%,-3.7%,-1.8%,7.1%,6.3%,5.1%,2 br Units,545.986,3.014,-0.3%,7.3%,-4.5%,8.1%,5.9%,4.4%,Combined,894.372,3.845,3.4%,2.9%,-9.1%,7.7%,4.6%,4.9%,2914
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2000,All Houses,"2,797.640",-17.640,-1.9%,23.1%,53.2%,19.8%,5.1%,9.4%,3 br Houses,"3,660.694",-10.694,-4.2%,-16.8%,30.7%,9.4%,7.3%,6.5%,All Units,"1,208.948",-8.948,4.4%,4.2%,11.4%,6.0%,1.1%,5.8%,2 br Units,"1,678.604",-13.604,-0.5%,1.4%,19.1%,5.4%,2.7%,5.6%,Combined,"1,253.348",-9.171,4.0%,5.2%,13.3%,6.7%,1.3%,6.0%,2000
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2001,All Houses,871.107,16.893,3.5%,9.7%,16.1%,5.1%,2.2%,1.5%,3 br Houses,"1,334.586",44.414,6.9%,0.6%,7.2%,2.4%,1.0%,0.7%,All Units,643.635,1.365,6.4%,16.4%,9.1%,2.9%,1.3%,0.9%,2 br Units,817.418,17.582,1.2%,1.7%,6.2%,2.0%,0.9%,0.6%,Combined,734.813,7.589,5.0%,13.1%,12.3%,4.0%,1.7%,1.2%,2001
Week ending9 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2007,All Houses,"1,137.932",-37.932,-31.3%,-31.3%,-19.7%,-11.2%,-0.7%,3.8%,3 br Houses,"1,802.083",0.000,0.0%,0.0%,20.1%,3.7%,1.3%,5.3%,All Units,235.586,-0.003,0.0%,-0.7%,-21.3%,-2.5%,-1.7%,-0.3%,2 br Units,"1,037.477",2.523,1.8%,-4.8%,-5.3%,-3.4%,-1.7%,4.8%,Combined,277.675,-1.782,-8.0%,-8.6%,-21.0%,-4.5%,-1.6%,0.3%,2007
