Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2903,All Houses,629.37,-14.37,-0.1%,-2.5%,-0.6%,4.5%,3.9%,3.4%,3 br Houses,619.91,-19.91,-0.6%,-1.1%,2.4%,4.0%,3.8%,3.3%,All Units,329.23,-44.23,-12.6%,-17.1%,-33.8%,-9.8%,-1.6%,-1.0%,2 br Units,450.70,-0.70,-0.1%,-1.9%,-6.4%,0.6%,2.7%,2.5%,Combined,561.07,-21.17,-2.0%,-4.8%,-6.8%,2.1%,3.0%,2.7%,2903
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2904,All Houses,729.93,50.07,-5.1%,-7.0%,6.3%,6.0%,4.5%,4.4%,3 br Houses,697.66,27.34,0.7%,-0.1%,7.4%,5.9%,6.2%,4.5%,All Units,572.68,-9.68,2.5%,-0.6%,-3.3%,4.0%,3.1%,2.9%,2 br Units,386.50,46.50,13.7%,13.7%,13.7%,4.4%,1.8%,1.3%,Combined,698.20,38.01,-3.9%,-6.0%,4.6%,5.7%,4.3%,4.2%,2904
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2905,All Houses,669.73,10.27,3.7%,-4.3%,2.4%,7.5%,5.8%,4.3%,3 br Houses,647.86,2.14,1.9%,2.7%,6.3%,7.0%,5.5%,4.3%,All Units,535.86,-10.86,-1.5%,-6.1%,-3.6%,0.1%,3.2%,3.4%,2 br Units,530.00,0.00,0.0%,1.9%,9.1%,6.4%,5.3%,3.8%,Combined,626.78,3.49,2.3%,-4.8%,0.7%,5.3%,5.1%,4.0%,2905
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2906,All Houses,584.63,-4.63,-7.1%,-6.6%,-2.2%,2.8%,4.2%,3.9%,3 br Houses,570.58,9.42,-2.3%,-4.1%,5.1%,2.0%,4.1%,3.7%,All Units,600.06,-12.06,0.5%,4.0%,8.8%,7.6%,6.1%,5.1%,2 br Units,375.00,0.00,0.0%,0.0%,0.0%,0.0%,-0.4%,0.0%,Combined,589.25,-6.86,-4.9%,-3.6%,0.9%,4.2%,4.8%,4.2%,2906
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2911,All Houses,712.54,-22.54,-5.1%,-1.8%,-0.5%,4.0%,3.1%,3.8%,3 br Houses,700.08,-0.08,-4.3%,-3.3%,5.4%,6.0%,4.8%,3.9%,All Units,543.29,16.71,14.9%,8.0%,-1.4%,4.0%,5.6%,0.0%,2 br Units,563.63,1.37,10.3%,6.0%,2.0%,2.7%,6.0%,0.0%,Combined,678.00,-14.53,-2.3%,-0.3%,-0.6%,4.0%,3.4%,5.7%,2911
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2912,All Houses,743.91,1.09,2.3%,4.4%,-0.5%,8.7%,4.2%,4.5%,3 br Houses,726.18,-6.18,-0.2%,7.7%,2.0%,8.7%,5.3%,4.4%,All Units,548.86,1.14,3.2%,2.1%,1.7%,3.9%,7.2%,4.8%,2 br Units,555.18,4.82,0.4%,1.5%,-0.2%,2.7%,4.6%,3.0%,Combined,666.72,1.11,2.5%,3.5%,-0.5%,6.8%,4.8%,4.4%,2912
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2913,All Houses,688.14,1.86,-3.1%,1.0%,-2.8%,6.2%,4.0%,3.7%,3 br Houses,631.62,8.38,0.9%,1.5%,2.3%,4.3%,4.2%,3.7%,All Units,588.27,-3.27,2.8%,-1.8%,1.9%,8.8%,4.8%,4.5%,2 br Units,542.02,-2.02,-1.9%,-2.0%,-1.4%,4.4%,4.2%,3.7%,Combined,651.52,-0.02,-1.2%,0.1%,-1.2%,7.1%,4.3%,4.0%,2913
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2914,All Houses,741.41,8.59,0.0%,-0.3%,-1.6%,3.0%,4.3%,4.0%,3 br Houses,654.28,-4.28,-2.0%,0.7%,-2.3%,4.1%,4.2%,3.8%,All Units,578.14,11.86,2.3%,-1.4%,3.2%,5.6%,5.4%,3.5%,2 br Units,549.30,0.70,2.0%,-0.1%,0.8%,5.9%,5.1%,3.4%,Combined,692.01,9.58,0.5%,-0.7%,-0.6%,3.4%,4.5%,3.8%,2914
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2000,All Houses,"1,641.00",9.00,-0.9%,3.2%,13.6%,23.2%,5.0%,3.6%,3 br Houses,"2,129.50",-29.50,-6.3%,-1.3%,52.6%,18.4%,2.5%,0.9%,All Units,"1,276.48",3.52,-0.6%,6.9%,14.2%,22.6%,6.4%,6.0%,2 br Units,"1,499.55",0.45,0.5%,8.8%,13.5%,23.7%,6.4%,5.6%,Combined,"1,286.91",3.68,-0.6%,6.8%,14.2%,22.7%,6.4%,5.9%,2000
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2001,All Houses,963.44,26.56,2.5%,0.0%,7.0%,2.3%,1.0%,0.7%,3 br Houses,"1,356.64",118.36,-9.9%,0.0%,-12.5%,-4.3%,-1.9%,-1.3%,All Units,630.16,-10.16,-4.9%,0.0%,-3.1%,-1.0%,-0.4%,-0.3%,2 br Units,767.80,20.20,1.6%,0.0%,2.4%,0.8%,0.3%,0.2%,Combined,630.16,-10.16,-4.9%,0.0%,-3.1%,-1.0%,-0.4%,-0.3%,2001
Week ending12 Apr 2024                      ($),Change onprev week($),Rolling month% change,Rolling quarter% change,12 month% change,3 year%(pa) change,7 year%(pa) change,10 year%(pa) change,Postcode 2007,All Houses,"1,281.09",-81.09,-11.5%,2.9%,16.5%,25.9%,8.1%,6.1%,3 br Houses,"1,495.11",4.89,-7.8%,-7.0%,25.8%,29.1%,7.8%,3.7%,All Units,731.86,13.14,-2.4%,-0.6%,9.8%,11.2%,2.8%,2.3%,2 br Units,"1,154.23",-4.23,-3.2%,3.3%,24.4%,22.4%,6.1%,4.9%,Combined,755.67,9.06,-3.1%,-0.3%,10.3%,12.1%,3.1%,2.5%,2007
